sweet,sour,spicy,bitter,fruity,dense,herb,Cluster,cocktail_name
0,1,0,0,2,0,1,4,Mango Mojito
0,1,0,1,0,0,1,18,Mojito Extra
1,0,0,0,1,0,0,10,Monkey Gland
0,0,0,0,0,2,1,29,Midnight Mint
1,0,0,0,2,0,0,30,Mary Pickford
0,0,0,1,1,0,0,26,Monkey Wrench
0,0,0,0,0,1,0,5,Mother's Milk
0,0,0,1,0,2,0,21,Midnight Manx
0,0,0,0,1,0,0,9,Malibu Twister
0,0,0,0,0,1,0,5,Midnight Cowboy
1,1,0,0,1,0,1,0,Mountain Bramble
0,0,0,1,1,0,0,26,Martinez Cocktail
2,0,0,0,0,1,0,20,Microwave Hot Cocoa
0,0,0,0,2,0,0,17,Mango Orange Smoothie
1,1,0,0,0,0,0,8,Mississippi Planters Punch
1,0,0,0,0,0,0,15,Negroni
1,2,0,0,1,0,0,31,New York Sour
0,0,0,0,0,2,0,29,Nutty Irishman
0,2,0,0,0,0,0,6,National Aquarium
0,1,0,0,0,0,0,6,New York Lemonade
2,0,0,0,0,1,0,20,Nuked Hot Chocolate
0,0,0,0,0,1,0,5,Orgasm
0,0,0,0,0,0,0,1,Old Pal
1,1,0,1,0,0,0,16,Old Cuban
1,1,0,0,1,0,0,0,Orangeade
0,0,0,0,1,1,0,24,Orange Whip
0,0,0,0,1,0,0,9,Orange Crush
0,0,1,0,2,0,0,17,Orange Oasis
1,0,0,1,0,0,0,19,Old Fashioned
1,0,0,0,0,1,0,20,Oreo Mudslide
0,0,0,0,0,1,0,5,Oatmeal Cookie
1,1,0,0,1,0,0,0,Orange Push-up
1,1,0,0,2,0,1,4,Orange Rosemary Collins
1,0,0,0,1,1,0,24,Orange Scented Hot Chocolate
0,1,0,0,0,0,0,6,Owen's Grandmother's Revenge
0,0,0,0,1,0,0,9,Paloma
0,0,0,0,2,0,0,17,Paradise
0,0,0,1,0,0,0,23,Pink Gin
0,1,0,2,1,0,0,26,Pegu Club
1,0,0,0,0,2,0,29,Pink Lady
0,1,0,0,1,0,0,11,Pink Moon
2,1,0,0,0,0,0,8,Penicillin
1,1,0,0,0,1,0,8,Pisco Sour
0,0,0,0,0,1,0,5,Porto flip
0,0,0,0,1,1,0,24,Pina Colada
0,0,0,0,3,0,0,2,Pink Penocha
1,1,0,1,0,0,1,16,Pure Passion
0,0,0,0,3,0,0,2,Popped cherry
0,0,0,0,0,0,0,1,Poppy Cocktail
1,0,0,0,0,2,0,29,Port Wine Flip
1,0,0,0,2,0,0,30,Planter's Punch
0,2,1,0,2,0,0,13,Pineapple Paloma
0,1,0,0,1,0,0,11,Pornstar Martini
2,0,0,1,2,0,0,30,Planter’s Punch
1,0,0,0,0,0,1,15,Port And Starboard
0,0,0,0,0,0,0,1,Port Wine Cocktail
0,0,0,0,3,0,0,2,Pysch Vitamin Light
1,1,0,0,0,0,0,8,Pink Panty Pulldowns
1,0,0,0,1,0,0,10,Passion Fruit Martini
0,0,1,0,1,0,0,9,Pineapple Gingerale Smoothie
0,0,0,0,0,1,0,5,Quentin
0,1,0,1,0,0,0,18,Queen Bee
0,0,0,0,1,1,0,24,Quick F**K
0,0,0,0,1,0,0,9,Quick-sand
1,1,0,0,0,0,0,8,Queen Charlotte
0,0,0,0,0,0,0,1,Queen Elizabeth
1,1,0,0,0,0,0,8,Quaker's Cocktail
0,1,0,0,0,0,0,6,Quarter Deck Cocktail
2,1,0,0,1,0,0,0,Rose
1,0,0,0,0,0,0,15,Radler
1,1,0,0,2,0,0,4,Rum Sour
0,0,1,0,2,0,0,17,Rum Punch
1,1,0,0,0,0,0,8,Rum Toddy
1,1,0,0,0,1,0,8,Royal Fizz
0,2,0,0,0,0,0,6,Rum Cooler
0,0,0,0,3,0,0,2,Rum Runner
0,1,0,0,0,0,0,6,Rusty Nail
0,0,0,0,1,0,0,9,Red Snapper
0,0,0,0,0,0,0,1,Royal Bitch
0,0,0,0,3,0,0,2,Royal Flush
1,1,0,0,2,0,0,4,Rum Cobbler
1,0,0,0,1,0,0,10,Ruby Tuesday
1,1,1,0,0,0,0,8,Rail Splitter
0,0,0,1,0,0,1,14,Rosemary Blue
2,1,0,0,0,2,0,12,Ramos Gin Fizz
1,1,0,0,0,1,0,8,Royal Gin Fizz
1,0,0,0,0,1,0,20,Rum Milk Punch
1,0,0,0,0,0,1,15,Raspberry Julep
0,0,0,0,1,0,0,9,Rum Screwdriver
0,1,0,0,1,0,0,11,Raspberry Cooler
1,1,0,1,0,0,0,16,Rum Old-fashioned
1,1,0,0,0,0,0,8,Russian Spring Punch
0,0,0,0,2,0,0,17,Radioactive Long Island Iced Tea
0,0,0,0,2,0,0,17,Smut
0,0,0,0,0,0,0,1,Spritz
0,0,0,0,0,1,0,5,Scooter
1,1,0,0,1,0,0,0,Sangria
0,0,0,0,0,0,1,14,Stinger
1,1,0,1,0,0,0,16,Sazerac
0,1,0,0,0,0,0,6,Sidecar
0,0,0,1,2,0,0,17,Snowday
1,1,0,0,1,0,0,0,Spice 75
0,2,0,0,0,0,0,6,Snowball
0,0,0,0,0,0,0,1,Shot-gun
0,0,0,0,1,0,0,9,Salty Dog
0,1,0,0,2,0,0,4,Stone Sour
0,0,0,0,2,0,0,17,Sea breeze
1,2,0,0,1,0,0,31,Scotch Sour
0,0,0,0,0,1,0,5,Sweet Tooth
0,0,0,0,1,0,0,9,Screwdriver
1,0,0,0,0,2,0,29,Sherry Flip
0,0,0,0,0,0,0,1,Sol Y Sombra
